Report,Report Currency,Manager,Fund,Vertical,Main operating country by revenues (Country),Main operating country by revenues (Continent),Sector,Technology,Customer Relationship Model,Business/Revenue Model,Company,Investment Type,Investment Instrument,Investment Status,Round,Investment date,Last Fair Value date,Number of Shares,Price Per Share,Last Price Per Share,Reported Investment,Calculate Investment,Investment diff, Investment Date EURUSD ,Reported Investment EUR,Calculate Investment EUR,Invest diff EUR,Reported NAV,Calculate NAV,NAV diff, Last Fair Value Date EURUSD ,Reported NAV EUR,Calculate NAV EUR,NAV Diff EUR, PnL 
4Q23,USD,Gospel,Gospel Explorer Fund I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,First Investment,Other,Exited,Other,6/1/2022,6/30/2022,,,,300000,300000,0,1.07,281679.56,281679.56,0,300000,300000,0,1.05,286341.51,286341.51,0,4661.95
1Q24,USD,Gospel,Gospel Explorer Fund I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,First Investment,Other,Exited,Other,6/1/2022,6/30/2022,,,,300000,300000,0,1.07,281679.56,281679.56,0,300000,300000,0,1.05,286341.51,286341.51,0,4661.95
2Q24,USD,Gospel,Gospel Explorer Fund I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,First Investment,Other,Exited,Other,6/1/2022,6/30/2022,,,,300000,300000,0,1.07,281679.56,281679.56,0,300000,300000,0,1.05,286341.51,286341.51,0,4661.95
3Q24,USD,Gospel,Gospel Explorer Fund I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,First Investment,Other,Exited,Other,6/1/2022,6/30/2022,,,,300000,300000,0,1.07,281679.56,281679.56,0,300000,300000,0,1.05,286341.51,286341.51,0,4661.95
4Q23,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,6/30/2022,9/30/2023,,,,300000,300000,0,1.05,286341.51,286341.51,0,239130,239130,0,1.06,225914.03,225914.03,0,-60427.48
4Q23,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/29/2022,9/30/2023,,,,240000,240000,0,1.02,234686.69,234686.69,0,191304,191304,0,1.06,180731.22,180731.22,0,-53955.47
4Q23,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/28/2022,9/30/2023,,,,210000,210000,0,1.03,203031.94,203031.94,0,167391,167391,0,1.06,158139.82,158139.82,0,-44892.12
4Q23,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/5/2023,9/30/2023,,,,210000,210000,0,1.09,193477.06,193477.06,0,167391,167391,0,1.06,158139.82,158139.82,0,-35337.24
4Q23,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/17/2023,9/30/2023,,,,150000,150000,0,1.09,137412.97,137412.97,0,150000,150000,0,1.06,141709.97,141709.97,0,4297
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,6/30/2022,12/31/2023,,,,300000,300000,0,1.05,286341.51,286341.51,0,282664,282664,0,1.1,256145.28,256145.28,0,-30196.23
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/29/2022,12/31/2023,,,,240000,240000,0,1.02,234686.69,234686.69,0,226131,226131,0,1.1,204916.04,204916.04,0,-29770.65
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/28/2022,12/31/2023,,,,210000,210000,0,1.03,203031.94,203031.94,0,197864,197864,0,1.1,179300.97,179300.97,0,-23730.97
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/5/2023,12/31/2023,,,,210000,210000,0,1.09,193477.06,193477.06,0,197864,197864,0,1.1,179300.97,179300.97,0,-14176.09
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/17/2023,12/31/2023,,,,150000,150000,0,1.09,137412.97,137412.97,0,141332,141332,0,1.1,128072.64,128072.64,0,-9340.33
1Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,2/26/2024,12/31/2023,,,,210000,210000,0,1.09,193546.6,193546.6,0,210000,210000,0,1.1,190298.41,190298.41,0,-3248.2
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,6/30/2022,1/31/2024,,,,300000,300000,0,1.05,286341.51,286341.51,0,376113.51,376113.51,0,1.08,348156.54,348156.54,0,61815.03
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/29/2022,1/31/2024,,,,240000,240000,0,1.02,234686.69,234686.69,0,300890.81,300890.81,0,1.08,278525.23,278525.23,0,43838.54
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/28/2022,1/31/2024,,,,210000,210000,0,1.03,203031.94,203031.94,0,263279.46,263279.46,0,1.08,243709.58,243709.58,0,40677.64
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/5/2023,1/31/2024,,,,210000,210000,0,1.09,193477.06,193477.06,0,263279.46,263279.46,0,1.08,243709.58,243709.58,0,50232.52
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,11/17/2023,1/31/2024,,,,150000,150000,0,1.09,137412.97,137412.97,0,188056.76,188056.76,0,1.08,174078.27,174078.27,0,36665.3
2Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,2/26/2024,1/31/2024,,,,210000,210000,0,1.09,193546.6,193546.6,0,210000,210000,0,1.08,194390.45,194390.45,0,843.84
3Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,6/30/2022,6/30/2024,,,,300000,300000,0,1.05,286341.51,286341.51,0,300000,300000,0,1.07,279485.75,279485.75,0,-6855.76
3Q24,USD,Gospel,Gospel XYZ I,FinTech,USA,North America,"Financial Services (Fintech, Insurtech, Crypto)",Web3,Other,Other,1Confirmation NFT,Follow On,Other,Active,Other,7/29/2022,6/30/2024,,,,240000,240000,0,1.02,234686.69,234686.69,0,240000,240000,0,1.07,223588.6,223588.6,0,-11098.1
